Comunidades y Ciudades Autónomas	Viajeros y pernoctaciones	Residencia	Periodo	Total
04 Balears, Illes	Pernoctaciones	Residentes en el Extranjero	2019M04	222.549
04 Balears, Illes	Pernoctaciones	Residentes en el Extranjero	2019M03	50.270
04 Balears, Illes	Pernoctaciones	Residentes en el Extranjero	2019M02	29.230
04 Balears, Illes	Pernoctaciones	Residentes en el Extranjero	2019M01	17.598
04 Balears, Illes	Pernoctaciones	Residentes en el Extranjero	2018M12	27.599
04 Balears, Illes	Pernoctaciones	Residentes en el Extranjero	2018M11	31.830
04 Balears, Illes	Pernoctaciones	Residentes en el Extranjero	2018M10	776.216
04 Balears, Illes	Pernoctaciones	Residentes en el Extranjero	2018M09	1.384.878
04 Balears, Illes	Pernoctaciones	Residentes en el Extranjero	2018M08	1.790.392
04 Balears, Illes	Pernoctaciones	Residentes en el Extranjero	2018M07	1.709.291
04 Balears, Illes	Pernoctaciones	Residentes en el Extranjero	2018M06	1.392.729
04 Balears, Illes	Pernoctaciones	Residentes en el Extranjero	2018M05	1.048.772
04 Balears, Illes	Pernoctaciones	Residentes en el Extranjero	2018M04	267.194
04 Balears, Illes	Pernoctaciones	Residentes en el Extranjero	2018M03	59.215
04 Balears, Illes	Pernoctaciones	Residentes en el Extranjero	2018M02	31.391
04 Balears, Illes	Pernoctaciones	Residentes en el Extranjero	2018M01	17.437
05 Canarias	Viajero	Total 	2021M08	236.800
05 Canarias	Viajero	Total 	2021M07	175.284
05 Canarias	Viajero	Total 	2021M06	101.962
05 Canarias	Viajero	Total 	2021M05	76.844
05 Canarias	Viajero	Total 	2021M04	67.933
05 Canarias	Viajero	Total 	2021M03	54.937
05 Canarias	Viajero	Total 	2021M02	41.591
05 Canarias	Viajero	Total 	2021M01	39.393
05 Canarias	Viajero	Total 	2020M12	67.932
05 Canarias	Viajero	Total 	2020M11	59.539
05 Canarias	Viajero	Total 	2020M10	71.586
05 Canarias	Viajero	Total 	2020M09	75.606
05 Canarias	Viajero	Total 	2020M08	131.529
05 Canarias	Viajero	Total 	2020M07	101.974
05 Canarias	Viajero	Total 	2020M06	9.105
05 Canarias	Viajero	Total 	2020M05	1.071
05 Canarias	Viajero	Total 	2020M04	0
05 Canarias	Viajero	Total 	2020M03	91.851
05 Canarias	Viajero	Total 	2020M02	284.359
05 Canarias	Viajero	Total 	2020M01	265.677
05 Canarias	Viajero	Total 	2019M12	288.980
05 Canarias	Viajero	Total 	2019M11	286.925
05 Canarias	Viajero	Total 	2019M10	301.988
05 Canarias	Viajero	Total 	2019M09	288.336
05 Canarias	Viajero	Total 	2019M08	349.999
05 Canarias	Viajero	Total 	2019M07	328.816
05 Canarias	Viajero	Total 	2019M06	288.540
05 Canarias	Viajero	Total 	2019M05	262.386
05 Canarias	Viajero	Total 	2019M04	291.021
05 Canarias	Viajero	Total 	2019M03	316.725
05 Canarias	Viajero	Total 	2019M02	278.118
05 Canarias	Viajero	Total 	2019M01	266.673
05 Canarias	Viajero	Total 	2018M12	303.090
05 Canarias	Viajero	Total 	2018M11	297.001
05 Canarias	Viajero	Total 	2018M10	325.625
05 Canarias	Viajero	Total 	2018M09	301.947
05 Canarias	Viajero	Total 	2018M08	370.247
05 Canarias	Viajero	Total 	2018M07	351.738
05 Canarias	Viajero	Total 	2018M06	302.387
05 Canarias	Viajero	Total 	2018M05	271.353
05 Canarias	Viajero	Total 	2018M04	290.482
05 Canarias	Viajero	Total 	2018M03	338.290
05 Canarias	Viajero	Total 	2018M02	293.004
05 Canarias	Viajero	Total 	2018M01	293.894
05 Canarias	Viajero	Residentes en España	2021M08	126.129
05 Canarias	Viajero	Residentes en España	2021M07	101.947
05 Canarias	Viajero	Residentes en España	2021M06	63.573
05 Canarias	Viajero	Residentes en España	2021M05	49.879
05 Canarias	Viajero	Residentes en España	2021M04	46.975
05 Canarias	Viajero	Residentes en España	2021M03	32.726
05 Canarias	Viajero	Residentes en España	2021M02	21.742
05 Canarias	Viajero	Residentes en España	2021M01	16.158
05 Canarias	Viajero	Residentes en España	2020M12	22.644
05 Canarias	Viajero	Residentes en España	2020M11	21.516
05 Canarias	Viajero	Residentes en España	2020M10	39.691
05 Canarias	Viajero	Residentes en España	2020M09	54.600
05 Canarias	Viajero	Residentes en España	2020M08	88.172
05 Canarias	Viajero	Residentes en España	2020M07	59.370
05 Canarias	Viajero	Residentes en España	2020M06	8.281
05 Canarias	Viajero	Residentes en España	2020M05	.
05 Canarias	Viajero	Residentes en España	2020M04	0
05 Canarias	Viajero	Residentes en España	2020M03	9.509
05 Canarias	Viajero	Residentes en España	2020M02	26.373
05 Canarias	Viajero	Residentes en España	2020M01	21.551
05 Canarias	Viajero	Residentes en España	2019M12	30.469
05 Canarias	Viajero	Residentes en España	2019M11	28.467
05 Canarias	Viajero	Residentes en España	2019M10	46.147
05 Canarias	Viajero	Residentes en España	2019M09	67.067
05 Canarias	Viajero	Residentes en España	2019M08	105.048
05 Canarias	Viajero	Residentes en España	2019M07	93.096
05 Canarias	Viajero	Residentes en España	2019M06	77.500
05 Canarias	Viajero	Residentes en España	2019M05	63.886
05 Canarias	Viajero	Residentes en España	2019M04	61.203
05 Canarias	Viajero	Residentes en España	2019M03	31.844
05 Canarias	Viajero	Residentes en España	2019M02	23.028
05 Canarias	Viajero	Residentes en España	2019M01	21.308
05 Canarias	Viajero	Residentes en España	2018M12	33.841
05 Canarias	Viajero	Residentes en España	2018M11	28.907
05 Canarias	Viajero	Residentes en España	2018M10	46.686
05 Canarias	Viajero	Residentes en España	2018M09	61.688
05 Canarias	Viajero	Residentes en España	2018M08	106.747
05 Canarias	Viajero	Residentes en España	2018M07	94.075
05 Canarias	Viajero	Residentes en España	2018M06	74.382
05 Canarias	Viajero	Residentes en España	2018M05	57.822
05 Canarias	Viajero	Residentes en España	2018M04	48.844
05 Canarias	Viajero	Residentes en España	2018M03	41.085
05 Canarias	Viajero	Residentes en España	2018M02	23.719
05 Canarias	Viajero	Residentes en España	2018M01	19.900
05 Canarias	Viajero	Residentes en el Extranjero	2021M08	110.671
05 Canarias	Viajero	Residentes en el Extranjero	2021M07	73.337
05 Canarias	Viajero	Residentes en el Extranjero	2021M06	38.389
05 Canarias	Viajero	Residentes en el Extranjero	2021M05	26.965
05 Canarias	Viajero	Residentes en el Extranjero	2021M04	20.958
05 Canarias	Viajero	Residentes en el Extranjero	2021M03	22.211
05 Canarias	Viajero	Residentes en el Extranjero	2021M02	19.849
05 Canarias	Viajero	Residentes en el Extranjero	2021M01	23.235
05 Canarias	Viajero	Residentes en el Extranjero	2020M12	45.288
05 Canarias	Viajero	Residentes en el Extranjero	2020M11	38.023
05 Canarias	Viajero	Residentes en el Extranjero	2020M10	31.895
05 Canarias	Viajero	Residentes en el Extranjero	2020M09	21.006
05 Canarias	Viajero	Residentes en el Extranjero	2020M08	43.357
05 Canarias	Viajero	Residentes en el Extranjero	2020M07	42.604
05 Canarias	Viajero	Residentes en el Extranjero	2020M06	824
05 Canarias	Viajero	Residentes en el Extranjero	2020M05	.
05 Canarias	Viajero	Residentes en el Extranjero	2020M04	0
05 Canarias	Viajero	Residentes en el Extranjero	2020M03	82.342
05 Canarias	Viajero	Residentes en el Extranjero	2020M02	257.985
05 Canarias	Viajero	Residentes en el Extranjero	2020M01	244.126
05 Canarias	Viajero	Residentes en el Extranjero	2019M12	258.511
05 Canarias	Viajero	Residentes en el Extranjero	2019M11	258.458
05 Canarias	Viajero	Residentes en el Extranjero	2019M10	255.841
05 Canarias	Viajero	Residentes en el Extranjero	2019M09	221.268
05 Canarias	Viajero	Residentes en el Extranjero	2019M08	244.951
05 Canarias	Viajero	Residentes en el Extranjero	2019M07	235.720
05 Canarias	Viajero	Residentes en el Extranjero	2019M06	211.040
05 Canarias	Viajero	Residentes en el Extranjero	2019M05	198.500
05 Canarias	Viajero	Residentes en el Extranjero	2019M04	229.818
05 Canarias	Viajero	Residentes en el Extranjero	2019M03	284.881
05 Canarias	Viajero	Residentes en el Extranjero	2019M02	255.090
05 Canarias	Viajero	Residentes en el Extranjero	2019M01	245.365
05 Canarias	Viajero	Residentes en el Extranjero	2018M12	269.249
05 Canarias	Viajero	Residentes en el Extranjero	2018M11	268.094
05 Canarias	Viajero	Residentes en el Extranjero	2018M10	278.939
05 Canarias	Viajero	Residentes en el Extranjero	2018M09	240.258
05 Canarias	Viajero	Residentes en el Extranjero	2018M08	263.500
05 Canarias	Viajero	Residentes en el Extranjero	2018M07	257.663
05 Canarias	Viajero	Residentes en el Extranjero	2018M06	228.005
05 Canarias	Viajero	Residentes en el Extranjero	2018M05	213.531
05 Canarias	Viajero	Residentes en el Extranjero	2018M04	241.638
05 Canarias	Viajero	Residentes en el Extranjero	2018M03	297.205
05 Canarias	Viajero	Residentes en el Extranjero	2018M02	269.285
05 Canarias	Viajero	Residentes en el Extranjero	2018M01	273.994
05 Canarias	Pernoctaciones	Total 	2021M08	1.597.030
05 Canarias	Pernoctaciones	Total 	2021M07	1.053.820
05 Canarias	Pernoctaciones	Total 	2021M06	514.956
05 Canarias	Pernoctaciones	Total 	2021M05	356.645
05 Canarias	Pernoctaciones	Total 	2021M04	341.962
05 Canarias	Pernoctaciones	Total 	2021M03	293.522
05 Canarias	Pernoctaciones	Total 	2021M02	237.944
05 Canarias	Pernoctaciones	Total 	2021M01	297.495
05 Canarias	Pernoctaciones	Total 	2020M12	450.478
05 Canarias	Pernoctaciones	Total 	2020M11	355.409
05 Canarias	Pernoctaciones	Total 	2020M10	312.137
05 Canarias	Pernoctaciones	Total 	2020M09	380.277
05 Canarias	Pernoctaciones	Total 	2020M08	765.462
05 Canarias	Pernoctaciones	Total 	2020M07	535.090
05 Canarias	Pernoctaciones	Total 	2020M06	29.673
05 Canarias	Pernoctaciones	Total 	2020M05	12.063
05 Canarias	Pernoctaciones	Total 	2020M04	0
05 Canarias	Pernoctaciones	Total 	2020M03	1.010.954
05 Canarias	Pernoctaciones	Total 	2020M02	2.364.657
05 Canarias	Pernoctaciones	Total 	2020M01	2.483.491
05 Canarias	Pernoctaciones	Total 	2019M12	2.393.038
05 Canarias	Pernoctaciones	Total 	2019M11	2.342.009
05 Canarias	Pernoctaciones	Total 	2019M10	2.270.976
05 Canarias	Pernoctaciones	Total 	2019M09	2.240.263
05 Canarias	Pernoctaciones	Total 	2019M08	2.827.919
05 Canarias	Pernoctaciones	Total 	2019M07	2.558.716
05 Canarias	Pernoctaciones	Total 	2019M06	2.012.593
05 Canarias	Pernoctaciones	Total 	2019M05	1.873.813
05 Canarias	Pernoctaciones	Total 	2019M04	2.188.999
05 Canarias	Pernoctaciones	Total 	2019M03	2.576.417
05 Canarias	Pernoctaciones	Total 	2019M02	2.380.838
05 Canarias	Pernoctaciones	Total 	2019M01	2.544.025
05 Canarias	Pernoctaciones	Total 	2018M12	2.502.759
05 Canarias	Pernoctaciones	Total 	2018M11	2.514.602
05 Canarias	Pernoctaciones	Total 	2018M10	2.550.463
05 Canarias	Pernoctaciones	Total 	2018M09	2.384.026
05 Canarias	Pernoctaciones	Total 	2018M08	3.044.833
05 Canarias	Pernoctaciones	Total 	2018M07	2.752.537
05 Canarias	Pernoctaciones	Total 	2018M06	2.168.742
05 Canarias	Pernoctaciones	Total 	2018M05	2.008.753
05 Canarias	Pernoctaciones	Total 	2018M04	2.210.375
05 Canarias	Pernoctaciones	Total 	2018M03	2.769.042
05 Canarias	Pernoctaciones	Total 	2018M02	2.574.520
05 Canarias	Pernoctaciones	Total 	2018M01	2.747.610
05 Canarias	Pernoctaciones	Residentes en España	2021M08	679.835
05 Canarias	Pernoctaciones	Residentes en España	2021M07	472.689
05 Canarias	Pernoctaciones	Residentes en España	2021M06	224.772
05 Canarias	Pernoctaciones	Residentes en España	2021M05	168.348
05 Canarias	Pernoctaciones	Residentes en España	2021M04	162.790
05 Canarias	Pernoctaciones	Residentes en España	2021M03	104.538
05 Canarias	Pernoctaciones	Residentes en España	2021M02	65.599
05 Canarias	Pernoctaciones	Residentes en España	2021M01	63.224
05 Canarias	Pernoctaciones	Residentes en España	2020M12	86.521
05 Canarias	Pernoctaciones	Residentes en España	2020M11	75.687
05 Canarias	Pernoctaciones	Residentes en España	2020M10	132.849
05 Canarias	Pernoctaciones	Residentes en España	2020M09	211.249
05 Canarias	Pernoctaciones	Residentes en España	2020M08	422.394
05 Canarias	Pernoctaciones	Residentes en España	2020M07	231.902
05 Canarias	Pernoctaciones	Residentes en España	2020M06	22.883
05 Canarias	Pernoctaciones	Residentes en España	2020M05	.
05 Canarias	Pernoctaciones	Residentes en España	2020M04	0
05 Canarias	Pernoctaciones	Residentes en España	2020M03	48.801
05 Canarias	Pernoctaciones	Residentes en España	2020M02	123.167
05 Canarias	Pernoctaciones	Residentes en España	2020M01	119.713
05 Canarias	Pernoctaciones	Residentes en España	2019M12	141.683
05 Canarias	Pernoctaciones	Residentes en España	2019M11	138.334
05 Canarias	Pernoctaciones	Residentes en España	2019M10	189.597
05 Canarias	Pernoctaciones	Residentes en España	2019M09	322.342
05 Canarias	Pernoctaciones	Residentes en España	2019M08	571.733
05 Canarias	Pernoctaciones	Residentes en España	2019M07	444.675
05 Canarias	Pernoctaciones	Residentes en España	2019M06	320.561
05 Canarias	Pernoctaciones	Residentes en España	2019M05	257.488
05 Canarias	Pernoctaciones	Residentes en España	2019M04	257.516
05 Canarias	Pernoctaciones	Residentes en España	2019M03	143.921
05 Canarias	Pernoctaciones	Residentes en España	2019M02	111.575
05 Canarias	Pernoctaciones	Residentes en España	2019M01	117.925
05 Canarias	Pernoctaciones	Residentes en España	2018M12	182.378
05 Canarias	Pernoctaciones	Residentes en España	2018M11	151.436
05 Canarias	Pernoctaciones	Residentes en España	2018M10	208.179
05 Canarias	Pernoctaciones	Residentes en España	2018M09	318.761
05 Canarias	Pernoctaciones	Residentes en España	2018M08	588.857
05 Canarias	Pernoctaciones	Residentes en España	2018M07	475.201
05 Canarias	Pernoctaciones	Residentes en España	2018M06	323.510
05 Canarias	Pernoctaciones	Residentes en España	2018M05	271.365
05 Canarias	Pernoctaciones	Residentes en España	2018M04	206.765
05 Canarias	Pernoctaciones	Residentes en España	2018M03	184.668
05 Canarias	Pernoctaciones	Residentes en España	2018M02	120.159
05 Canarias	Pernoctaciones	Residentes en España	2018M01	115.013
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2021M08	917.195
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2021M07	581.132
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2021M06	290.185
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2021M05	188.297
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2021M04	179.171
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2021M03	188.984
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2021M02	172.345
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2021M01	234.271
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2020M12	363.957
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2020M11	279.723
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2020M10	179.287
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2020M09	169.028
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2020M08	343.069
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2020M07	303.188
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2020M06	6.791
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2020M05	.
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2020M04	0
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2020M03	962.152
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2020M02	2.241.490
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2020M01	2.363.778
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2019M12	2.251.355
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2019M11	2.203.675
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2019M10	2.081.378
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2019M09	1.917.920
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2019M08	2.256.186
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2019M07	2.114.041
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2019M06	1.692.032
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2019M05	1.616.325
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2019M04	1.931.483
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2019M03	2.432.496
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2019M02	2.269.263
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2019M01	2.426.100
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2018M12	2.320.381
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2018M11	2.363.166
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2018M10	2.342.284
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2018M09	2.065.265
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2018M08	2.455.975
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2018M07	2.277.336
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2018M06	1.845.232
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2018M05	1.737.388
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2018M04	2.003.610
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2018M03	2.584.373
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2018M02	2.454.361
05 Canarias	Pernoctaciones	Residentes en el Extranjero	2018M01	2.632.596
06 Cantabria	Viajero	Total 	2021M08	27.365
06 Cantabria	Viajero	Total 	2021M07	22.008
06 Cantabria	Viajero	Total 	2021M06	10.858
06 Cantabria	Viajero	Total 	2021M05	3.069
06 Cantabria	Viajero	Total 	2021M04	859
06 Cantabria	Viajero	Total 	2021M03	993
06 Cantabria	Viajero	Total 	2021M02	1.010
06 Cantabria	Viajero	Total 	2021M01	1.057
06 Cantabria	Viajero	Total 	2020M12	861
06 Cantabria	Viajero	Total 	2020M11	788
06 Cantabria	Viajero	Total 	2020M10	5.877
06 Cantabria	Viajero	Total 	2020M09	15.106
06 Cantabria	Viajero	Total 	2020M08	23.331
06 Cantabria	Viajero	Total 	2020M07	21.259
06 Cantabria	Viajero	Total 	2020M06	2.293
06 Cantabria	Viajero	Total 	2020M05	327
06 Cantabria	Viajero	Total 	2020M04	0
06 Cantabria	Viajero	Total 	2020M03	1.069
06 Cantabria	Viajero	Total 	2020M02	6.148
06 Cantabria	Viajero	Total 	2020M01	4.489
06 Cantabria	Viajero	Total 	2019M12	8.725
06 Cantabria	Viajero	Total 	2019M11	7.500
06 Cantabria	Viajero	Total 	2019M10	11.558
06 Cantabria	Viajero	Total 	2019M09	17.227
06 Cantabria	Viajero	Total 	2019M08	28.282
06 Cantabria	Viajero	Total 	2019M07	25.511
06 Cantabria	Viajero	Total 	2019M06	15.036
06 Cantabria	Viajero	Total 	2019M05	10.648
06 Cantabria	Viajero	Total 	2019M04	12.865
06 Cantabria	Viajero	Total 	2019M03	6.582
06 Cantabria	Viajero	Total 	2019M02	3.111
06 Cantabria	Viajero	Total 	2019M01	3.082
06 Cantabria	Viajero	Total 	2018M12	13.610
06 Cantabria	Viajero	Total 	2018M11	10.287
06 Cantabria	Viajero	Total 	2018M10	14.649
06 Cantabria	Viajero	Total 	2018M09	24.924
06 Cantabria	Viajero	Total 	2018M08	30.346
06 Cantabria	Viajero	Total 	2018M07	29.157
06 Cantabria	Viajero	Total 	2018M06	18.927
06 Cantabria	Viajero	Total 	2018M05	16.376
06 Cantabria	Viajero	Total 	2018M04	16.724
06 Cantabria	Viajero	Total 	2018M03	15.908
06 Cantabria	Viajero	Total 	2018M02	10.224
06 Cantabria	Viajero	Total 	2018M01	9.459
06 Cantabria	Viajero	Residentes en España	2021M08	25.517
06 Cantabria	Viajero	Residentes en España	2021M07	21.328
06 Cantabria	Viajero	Residentes en España	2021M06	10.607
06 Cantabria	Viajero	Residentes en España	2021M05	2.986
06 Cantabria	Viajero	Residentes en España	2021M04	826
06 Cantabria	Viajero	Residentes en España	2021M03	900
06 Cantabria	Viajero	Residentes en España	2021M02	958
06 Cantabria	Viajero	Residentes en España	2021M01	992
06 Cantabria	Viajero	Residentes en España	2020M12	838
06 Cantabria	Viajero	Residentes en España	2020M11	767
06 Cantabria	Viajero	Residentes en España	2020M10	5.648
06 Cantabria	Viajero	Residentes en España	2020M09	14.942
06 Cantabria	Viajero	Residentes en España	2020M08	22.681
06 Cantabria	Viajero	Residentes en España	2020M07	20.804
06 Cantabria	Viajero	Residentes en España	2020M06	2.261
06 Cantabria	Viajero	Residentes en España	2020M05	.
06 Cantabria	Viajero	Residentes en España	2020M04	0
06 Cantabria	Viajero	Residentes en España	2020M03	936
06 Cantabria	Viajero	Residentes en España	2020M02	5.626
06 Cantabria	Viajero	Residentes en España	2020M01	4.213
06 Cantabria	Viajero	Residentes en España	2019M12	8.122
06 Cantabria	Viajero	Residentes en España	2019M11	6.592
06 Cantabria	Viajero	Residentes en España	2019M10	9.623
06 Cantabria	Viajero	Residentes en España	2019M09	14.516
06 Cantabria	Viajero	Residentes en España	2019M08	25.381
06 Cantabria	Viajero	Residentes en España	2019M07	22.819
06 Cantabria	Viajero	Residentes en España	2019M06	13.511
06 Cantabria	Viajero	Residentes en España	2019M05	9.699
06 Cantabria	Viajero	Residentes en España	2019M04	12.325
06 Cantabria	Viajero	Residentes en España	2019M03	6.185
06 Cantabria	Viajero	Residentes en España	2019M02	2.931
06 Cantabria	Viajero	Residentes en España	2019M01	2.972
06 Cantabria	Viajero	Residentes en España	2018M12	12.848
06 Cantabria	Viajero	Residentes en España	2018M11	9.815
06 Cantabria	Viajero	Residentes en España	2018M10	12.600
06 Cantabria	Viajero	Residentes en España	2018M09	21.546
06 Cantabria	Viajero	Residentes en España	2018M08	26.781
06 Cantabria	Viajero	Residentes en España	2018M07	25.015
06 Cantabria	Viajero	Residentes en España	2018M06	15.680
06 Cantabria	Viajero	Residentes en España	2018M05	13.029
06 Cantabria	Viajero	Residentes en España	2018M04	14.658
06 Cantabria	Viajero	Residentes en España	2018M03	15.245
06 Cantabria	Viajero	Residentes en España	2018M02	8.788
06 Cantabria	Viajero	Residentes en España	2018M01	8.057
06 Cantabria	Viajero	Residentes en el Extranjero	2021M08	1.848
06 Cantabria	Viajero	Residentes en el Extranjero	2021M07	680
06 Cantabria	Viajero	Residentes en el Extranjero	2021M06	251
06 Cantabria	Viajero	Residentes en el Extranjero	2021M05	82
06 Cantabria	Viajero	Residentes en el Extranjero	2021M04	33
06 Cantabria	Viajero	Residentes en el Extranjero	2021M03	93
06 Cantabria	Viajero	Residentes en el Extranjero	2021M02	53
06 Cantabria	Viajero	Residentes en el Extranjero	2021M01	65
06 Cantabria	Viajero	Residentes en el Extranjero	2020M12	23
06 Cantabria	Viajero	Residentes en el Extranjero	2020M11	21
06 Cantabria	Viajero	Residentes en el Extranjero	2020M10	229
06 Cantabria	Viajero	Residentes en el Extranjero	2020M09	164
06 Cantabria	Viajero	Residentes en el Extranjero	2020M08	651
06 Cantabria	Viajero	Residentes en el Extranjero	2020M07	455
06 Cantabria	Viajero	Residentes en el Extranjero	2020M06	32
06 Cantabria	Viajero	Residentes en el Extranjero	2020M05	.
06 Cantabria	Viajero	Residentes en el Extranjero	2020M04	0
06 Cantabria	Viajero	Residentes en el Extranjero	2020M03	132
06 Cantabria	Viajero	Residentes en el Extranjero	2020M02	523
06 Cantabria	Viajero	Residentes en el Extranjero	2020M01	276
06 Cantabria	Viajero	Residentes en el Extranjero	2019M12	603
06 Cantabria	Viajero	Residentes en el Extranjero	2019M11	908
06 Cantabria	Viajero	Residentes en el Extranjero	2019M10	1.935
06 Cantabria	Viajero	Residentes en el Extranjero	2019M09	2.711
06 Cantabria	Viajero	Residentes en el Extranjero	2019M08	2.901
06 Cantabria	Viajero	Residentes en el Extranjero	2019M07	2.692
06 Cantabria	Viajero	Residentes en el Extranjero	2019M06	1.525
06 Cantabria	Viajero	Residentes en el Extranjero	2019M05	949
06 Cantabria	Viajero	Residentes en el Extranjero	2019M04	540
06 Cantabria	Viajero	Residentes en el Extranjero	2019M03	396
06 Cantabria	Viajero	Residentes en el Extranjero	2019M02	180
06 Cantabria	Viajero	Residentes en el Extranjero	2019M01	110
06 Cantabria	Viajero	Residentes en el Extranjero	2018M12	763
06 Cantabria	Viajero	Residentes en el Extranjero	2018M11	472
06 Cantabria	Viajero	Residentes en el Extranjero	2018M10	2.050
06 Cantabria	Viajero	Residentes en el Extranjero	2018M09	3.379
06 Cantabria	Viajero	Residentes en el Extranjero	2018M08	3.565
06 Cantabria	Viajero	Residentes en el Extranjero	2018M07	4.143
06 Cantabria	Viajero	Residentes en el Extranjero	2018M06	3.247
06 Cantabria	Viajero	Residentes en el Extranjero	2018M05	3.347
06 Cantabria	Viajero	Residentes en el Extranjero	2018M04	2.066
06 Cantabria	Viajero	Residentes en el Extranjero	2018M03	662
06 Cantabria	Viajero	Residentes en el Extranjero	2018M02	1.436
06 Cantabria	Viajero	Residentes en el Extranjero	2018M01	1.402
06 Cantabria	Pernoctaciones	Total 	2021M08	153.778
06 Cantabria	Pernoctaciones	Total 	2021M07	100.407
06 Cantabria	Pernoctaciones	Total 	2021M06	35.085
06 Cantabria	Pernoctaciones	Total 	2021M05	9.707
06 Cantabria	Pernoctaciones	Total 	2021M04	3.448
06 Cantabria	Pernoctaciones	Total 	2021M03	4.459
06 Cantabria	Pernoctaciones	Total 	2021M02	2.909
06 Cantabria	Pernoctaciones	Total 	2021M01	4.172
06 Cantabria	Pernoctaciones	Total 	2020M12	2.722
06 Cantabria	Pernoctaciones	Total 	2020M11	3.890
06 Cantabria	Pernoctaciones	Total 	2020M10	17.578
06 Cantabria	Pernoctaciones	Total 	2020M09	53.685
06 Cantabria	Pernoctaciones	Total 	2020M08	147.041
06 Cantabria	Pernoctaciones	Total 	2020M07	101.034
06 Cantabria	Pernoctaciones	Total 	2020M06	7.153
06 Cantabria	Pernoctaciones	Total 	2020M05	2.875
06 Cantabria	Pernoctaciones	Total 	2020M04	0
06 Cantabria	Pernoctaciones	Total 	2020M03	3.211
06 Cantabria	Pernoctaciones	Total 	2020M02	13.129
06 Cantabria	Pernoctaciones	Total 	2020M01	14.351
06 Cantabria	Pernoctaciones	Total 	2019M12	28.103
06 Cantabria	Pernoctaciones	Total 	2019M11	21.497
06 Cantabria	Pernoctaciones	Total 	2019M10	31.075
06 Cantabria	Pernoctaciones	Total 	2019M09	60.347
06 Cantabria	Pernoctaciones	Total 	2019M08	144.393
06 Cantabria	Pernoctaciones	Total 	2019M07	107.705
06 Cantabria	Pernoctaciones	Total 	2019M06	39.023
06 Cantabria	Pernoctaciones	Total 	2019M05	27.142
06 Cantabria	Pernoctaciones	Total 	2019M04	34.736
06 Cantabria	Pernoctaciones	Total 	2019M03	15.855
06 Cantabria	Pernoctaciones	Total 	2019M02	8.005
06 Cantabria	Pernoctaciones	Total 	2019M01	9.237
06 Cantabria	Pernoctaciones	Total 	2018M12	35.726
06 Cantabria	Pernoctaciones	Total 	2018M11	28.602
06 Cantabria	Pernoctaciones	Total 	2018M10	38.460
06 Cantabria	Pernoctaciones	Total 	2018M09	83.040
06 Cantabria	Pernoctaciones	Total 	2018M08	150.533
06 Cantabria	Pernoctaciones	Total 	2018M07	126.110
06 Cantabria	Pernoctaciones	Total 	2018M06	60.994
06 Cantabria	Pernoctaciones	Total 	2018M05	37.142
06 Cantabria	Pernoctaciones	Total 	2018M04	41.766
06 Cantabria	Pernoctaciones	Total 	2018M03	38.897
06 Cantabria	Pernoctaciones	Total 	2018M02	23.692
