,Comunidades y Ciudades Autónomas,Viajeros y pernoctaciones,Residencia,Periodo,Total
2574,09 Cataluña,Pernoctaciones,Residentes en España,2019M10,137.430
2575,09 Cataluña,Pernoctaciones,Residentes en España,2019M09,275.610
2576,09 Cataluña,Pernoctaciones,Residentes en España,2019M08,555.283
2577,09 Cataluña,Pernoctaciones,Residentes en España,2019M07,349.282
2578,09 Cataluña,Pernoctaciones,Residentes en España,2019M06,279.984
2579,09 Cataluña,Pernoctaciones,Residentes en España,2019M05,139.264
2580,09 Cataluña,Pernoctaciones,Residentes en España,2019M04,161.152
2581,09 Cataluña,Pernoctaciones,Residentes en España,2019M03,106.766
2582,09 Cataluña,Pernoctaciones,Residentes en España,2019M02,89.236
2583,09 Cataluña,Pernoctaciones,Residentes en España,2019M01,93.728
2584,09 Cataluña,Pernoctaciones,Residentes en España,2018M12,117.284
2585,09 Cataluña,Pernoctaciones,Residentes en España,2018M11,89.811
2586,09 Cataluña,Pernoctaciones,Residentes en España,2018M10,138.339
2587,09 Cataluña,Pernoctaciones,Residentes en España,2018M09,249.918
2588,09 Cataluña,Pernoctaciones,Residentes en España,2018M08,480.434
2589,09 Cataluña,Pernoctaciones,Residentes en España,2018M07,319.136
2590,09 Cataluña,Pernoctaciones,Residentes en España,2018M06,267.462
2591,09 Cataluña,Pernoctaciones,Residentes en España,2018M05,126.106
2592,09 Cataluña,Pernoctaciones,Residentes en España,2018M04,136.107
2593,09 Cataluña,Pernoctaciones,Residentes en España,2018M03,133.180
2594,09 Cataluña,Pernoctaciones,Residentes en España,2018M02,100.853
2595,09 Cataluña,Pernoctaciones,Residentes en España,2018M01,99.651
2596,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2021M08,474.661
2597,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2021M07,309.639
2598,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2021M06,84.591
2599,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2021M05,49.839
2600,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2021M04,28.690
2601,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2021M03,32.572
2602,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2021M02,25.539
2603,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2021M01,24.859
2604,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2020M12,25.666
2605,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2020M11,28.892
2606,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2020M10,38.430
2607,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2020M09,72.442
2608,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2020M08,272.274
2609,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2020M07,216.894
2610,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2020M06,11.743
2611,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2020M05,.
2612,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2020M04,0
2613,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2020M03,33.970
2614,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2020M02,83.474
2615,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2020M01,71.846
2616,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2019M12,92.240
2617,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2019M11,79.376
2618,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2019M10,241.562
2619,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2019M09,530.718
2620,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2019M08,1.046.353
2621,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2019M07,866.341
2622,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2019M06,485.423
2623,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2019M05,282.939
2624,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2019M04,176.757
2625,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2019M03,106.647
2626,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2019M02,100.495
2627,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2019M01,84.120
2628,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2018M12,81.641
2629,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2018M11,81.806
2630,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2018M10,227.655
2631,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2018M09,457.035
2632,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2018M08,945.340
2633,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2018M07,806.239
2634,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2018M06,497.092
2635,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2018M05,291.566
2636,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2018M04,156.135
2637,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2018M03,96.976
2638,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2018M02,87.766
2639,09 Cataluña,Pernoctaciones,Residentes en el Extranjero,2018M01,80.433
2640,10 Comunitat Valenciana,Viajero,Total ,2021M08,329.433
2641,10 Comunitat Valenciana,Viajero,Total ,2021M07,287.829
2642,10 Comunitat Valenciana,Viajero,Total ,2021M06,131.528
2643,10 Comunitat Valenciana,Viajero,Total ,2021M05,55.796
2644,10 Comunitat Valenciana,Viajero,Total ,2021M04,30.345
2645,10 Comunitat Valenciana,Viajero,Total ,2021M03,17.674
2646,10 Comunitat Valenciana,Viajero,Total ,2021M02,8.579
2647,10 Comunitat Valenciana,Viajero,Total ,2021M01,10.030
2648,10 Comunitat Valenciana,Viajero,Total ,2020M12,17.055
2649,10 Comunitat Valenciana,Viajero,Total ,2020M11,11.692
2650,10 Comunitat Valenciana,Viajero,Total ,2020M10,30.243
2651,10 Comunitat Valenciana,Viajero,Total ,2020M09,54.871
2652,10 Comunitat Valenciana,Viajero,Total ,2020M08,195.052
2653,10 Comunitat Valenciana,Viajero,Total ,2020M07,126.782
2654,10 Comunitat Valenciana,Viajero,Total ,2020M06,17.241
2655,10 Comunitat Valenciana,Viajero,Total ,2020M05,1.673
2656,10 Comunitat Valenciana,Viajero,Total ,2020M04,0
2657,10 Comunitat Valenciana,Viajero,Total ,2020M03,19.614
2658,10 Comunitat Valenciana,Viajero,Total ,2020M02,71.044
2659,10 Comunitat Valenciana,Viajero,Total ,2020M01,60.827
2660,10 Comunitat Valenciana,Viajero,Total ,2019M12,80.326
2661,10 Comunitat Valenciana,Viajero,Total ,2019M11,75.836
2662,10 Comunitat Valenciana,Viajero,Total ,2019M10,114.142
2663,10 Comunitat Valenciana,Viajero,Total ,2019M09,167.013
2664,10 Comunitat Valenciana,Viajero,Total ,2019M08,329.128
2665,10 Comunitat Valenciana,Viajero,Total ,2019M07,266.076
2666,10 Comunitat Valenciana,Viajero,Total ,2019M06,201.593
2667,10 Comunitat Valenciana,Viajero,Total ,2019M05,139.520
2668,10 Comunitat Valenciana,Viajero,Total ,2019M04,138.332
2669,10 Comunitat Valenciana,Viajero,Total ,2019M03,88.912
2670,10 Comunitat Valenciana,Viajero,Total ,2019M02,62.662
2671,10 Comunitat Valenciana,Viajero,Total ,2019M01,50.373
2672,10 Comunitat Valenciana,Viajero,Total ,2018M12,78.148
2673,10 Comunitat Valenciana,Viajero,Total ,2018M11,70.965
2674,10 Comunitat Valenciana,Viajero,Total ,2018M10,110.341
2675,10 Comunitat Valenciana,Viajero,Total ,2018M09,183.061
2676,10 Comunitat Valenciana,Viajero,Total ,2018M08,306.212
2677,10 Comunitat Valenciana,Viajero,Total ,2018M07,266.861
2678,10 Comunitat Valenciana,Viajero,Total ,2018M06,191.986
2679,10 Comunitat Valenciana,Viajero,Total ,2018M05,129.418
2680,10 Comunitat Valenciana,Viajero,Total ,2018M04,124.461
2681,10 Comunitat Valenciana,Viajero,Total ,2018M03,107.172
2682,10 Comunitat Valenciana,Viajero,Total ,2018M02,62.173
2683,10 Comunitat Valenciana,Viajero,Total ,2018M01,46.660
2684,10 Comunitat Valenciana,Viajero,Residentes en España,2021M08,248.648
2685,10 Comunitat Valenciana,Viajero,Residentes en España,2021M07,219.274
2686,10 Comunitat Valenciana,Viajero,Residentes en España,2021M06,105.348
2687,10 Comunitat Valenciana,Viajero,Residentes en España,2021M05,41.208
2688,10 Comunitat Valenciana,Viajero,Residentes en España,2021M04,25.384
2689,10 Comunitat Valenciana,Viajero,Residentes en España,2021M03,14.834
2690,10 Comunitat Valenciana,Viajero,Residentes en España,2021M02,6.944
2691,10 Comunitat Valenciana,Viajero,Residentes en España,2021M01,7.027
2692,10 Comunitat Valenciana,Viajero,Residentes en España,2020M12,13.615
2693,10 Comunitat Valenciana,Viajero,Residentes en España,2020M11,8.840
2694,10 Comunitat Valenciana,Viajero,Residentes en España,2020M10,22.587
2695,10 Comunitat Valenciana,Viajero,Residentes en España,2020M09,44.309
2696,10 Comunitat Valenciana,Viajero,Residentes en España,2020M08,151.787
2697,10 Comunitat Valenciana,Viajero,Residentes en España,2020M07,99.548
2698,10 Comunitat Valenciana,Viajero,Residentes en España,2020M06,15.480
2699,10 Comunitat Valenciana,Viajero,Residentes en España,2020M05,.
2700,10 Comunitat Valenciana,Viajero,Residentes en España,2020M04,0
2701,10 Comunitat Valenciana,Viajero,Residentes en España,2020M03,5.186
2702,10 Comunitat Valenciana,Viajero,Residentes en España,2020M02,25.997
2703,10 Comunitat Valenciana,Viajero,Residentes en España,2020M01,21.906
2704,10 Comunitat Valenciana,Viajero,Residentes en España,2019M12,39.794
2705,10 Comunitat Valenciana,Viajero,Residentes en España,2019M11,29.294
2706,10 Comunitat Valenciana,Viajero,Residentes en España,2019M10,31.747
2707,10 Comunitat Valenciana,Viajero,Residentes en España,2019M09,69.318
2708,10 Comunitat Valenciana,Viajero,Residentes en España,2019M08,190.082
2709,10 Comunitat Valenciana,Viajero,Residentes en España,2019M07,146.073
2710,10 Comunitat Valenciana,Viajero,Residentes en España,2019M06,97.400
2711,10 Comunitat Valenciana,Viajero,Residentes en España,2019M05,48.938
2712,10 Comunitat Valenciana,Viajero,Residentes en España,2019M04,60.771
2713,10 Comunitat Valenciana,Viajero,Residentes en España,2019M03,35.136
2714,10 Comunitat Valenciana,Viajero,Residentes en España,2019M02,23.861
2715,10 Comunitat Valenciana,Viajero,Residentes en España,2019M01,16.427
2716,10 Comunitat Valenciana,Viajero,Residentes en España,2018M12,37.988
2717,10 Comunitat Valenciana,Viajero,Residentes en España,2018M11,24.786
2718,10 Comunitat Valenciana,Viajero,Residentes en España,2018M10,32.788
2719,10 Comunitat Valenciana,Viajero,Residentes en España,2018M09,86.486
2720,10 Comunitat Valenciana,Viajero,Residentes en España,2018M08,186.621
2721,10 Comunitat Valenciana,Viajero,Residentes en España,2018M07,151.981
2722,10 Comunitat Valenciana,Viajero,Residentes en España,2018M06,90.225
2723,10 Comunitat Valenciana,Viajero,Residentes en España,2018M05,43.117
2724,10 Comunitat Valenciana,Viajero,Residentes en España,2018M04,45.742
2725,10 Comunitat Valenciana,Viajero,Residentes en España,2018M03,50.222
2726,10 Comunitat Valenciana,Viajero,Residentes en España,2018M02,21.180
2727,10 Comunitat Valenciana,Viajero,Residentes en España,2018M01,15.981
2728,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2021M08,80.785
2729,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2021M07,68.555
2730,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2021M06,26.180
2731,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2021M05,14.588
2732,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2021M04,4.961
2733,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2021M03,2.840
2734,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2021M02,1.635
2735,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2021M01,3.002
2736,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2020M12,3.440
2737,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2020M11,2.852
2738,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2020M10,7.657
2739,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2020M09,10.562
2740,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2020M08,43.265
2741,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2020M07,27.234
2742,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2020M06,1.761
2743,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2020M05,.
2744,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2020M04,0
2745,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2020M03,14.428
2746,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2020M02,45.047
2747,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2020M01,38.921
2748,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2019M12,40.532
2749,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2019M11,46.542
2750,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2019M10,82.395
2751,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2019M09,97.694
2752,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2019M08,139.047
2753,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2019M07,120.002
2754,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2019M06,104.193
2755,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2019M05,90.582
2756,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2019M04,77.561
2757,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2019M03,53.776
2758,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2019M02,38.802
2759,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2019M01,33.945
2760,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2018M12,40.160
2761,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2018M11,46.179
2762,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2018M10,77.553
2763,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2018M09,96.575
2764,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2018M08,119.591
2765,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2018M07,114.880
2766,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2018M06,101.760
2767,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2018M05,86.301
2768,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2018M04,78.719
2769,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2018M03,56.950
2770,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2018M02,40.993
2771,10 Comunitat Valenciana,Viajero,Residentes en el Extranjero,2018M01,30.678
2772,10 Comunitat Valenciana,Pernoctaciones,Total ,2021M08,2.283.784
2773,10 Comunitat Valenciana,Pernoctaciones,Total ,2021M07,1.780.324
2774,10 Comunitat Valenciana,Pernoctaciones,Total ,2021M06,624.817
2775,10 Comunitat Valenciana,Pernoctaciones,Total ,2021M05,251.361
2776,10 Comunitat Valenciana,Pernoctaciones,Total ,2021M04,148.155
2777,10 Comunitat Valenciana,Pernoctaciones,Total ,2021M03,112.250
2778,10 Comunitat Valenciana,Pernoctaciones,Total ,2021M02,88.968
2779,10 Comunitat Valenciana,Pernoctaciones,Total ,2021M01,99.061
2780,10 Comunitat Valenciana,Pernoctaciones,Total ,2020M12,106.367
2781,10 Comunitat Valenciana,Pernoctaciones,Total ,2020M11,107.065
2782,10 Comunitat Valenciana,Pernoctaciones,Total ,2020M10,193.236
2783,10 Comunitat Valenciana,Pernoctaciones,Total ,2020M09,358.944
2784,10 Comunitat Valenciana,Pernoctaciones,Total ,2020M08,1.334.981
2785,10 Comunitat Valenciana,Pernoctaciones,Total ,2020M07,832.282
2786,10 Comunitat Valenciana,Pernoctaciones,Total ,2020M06,98.082
2787,10 Comunitat Valenciana,Pernoctaciones,Total ,2020M05,37.292
2788,10 Comunitat Valenciana,Pernoctaciones,Total ,2020M04,0
2789,10 Comunitat Valenciana,Pernoctaciones,Total ,2020M03,137.317
2790,10 Comunitat Valenciana,Pernoctaciones,Total ,2020M02,427.151
2791,10 Comunitat Valenciana,Pernoctaciones,Total ,2020M01,394.821
2792,10 Comunitat Valenciana,Pernoctaciones,Total ,2019M12,411.855
2793,10 Comunitat Valenciana,Pernoctaciones,Total ,2019M11,405.207
2794,10 Comunitat Valenciana,Pernoctaciones,Total ,2019M10,661.262
2795,10 Comunitat Valenciana,Pernoctaciones,Total ,2019M09,1.062.169
2796,10 Comunitat Valenciana,Pernoctaciones,Total ,2019M08,2.464.586
2797,10 Comunitat Valenciana,Pernoctaciones,Total ,2019M07,1.847.332
2798,10 Comunitat Valenciana,Pernoctaciones,Total ,2019M06,1.086.664
2799,10 Comunitat Valenciana,Pernoctaciones,Total ,2019M05,685.323
2800,10 Comunitat Valenciana,Pernoctaciones,Total ,2019M04,683.041
2801,10 Comunitat Valenciana,Pernoctaciones,Total ,2019M03,521.636
2802,10 Comunitat Valenciana,Pernoctaciones,Total ,2019M02,401.722
2803,10 Comunitat Valenciana,Pernoctaciones,Total ,2019M01,387.855
2804,10 Comunitat Valenciana,Pernoctaciones,Total ,2018M12,429.654
2805,10 Comunitat Valenciana,Pernoctaciones,Total ,2018M11,437.086
2806,10 Comunitat Valenciana,Pernoctaciones,Total ,2018M10,692.791
2807,10 Comunitat Valenciana,Pernoctaciones,Total ,2018M09,1.149.028
2808,10 Comunitat Valenciana,Pernoctaciones,Total ,2018M08,2.380.564
2809,10 Comunitat Valenciana,Pernoctaciones,Total ,2018M07,1.868.654
2810,10 Comunitat Valenciana,Pernoctaciones,Total ,2018M06,1.057.852
2811,10 Comunitat Valenciana,Pernoctaciones,Total ,2018M05,681.823
2812,10 Comunitat Valenciana,Pernoctaciones,Total ,2018M04,607.963
2813,10 Comunitat Valenciana,Pernoctaciones,Total ,2018M03,617.844
2814,10 Comunitat Valenciana,Pernoctaciones,Total ,2018M02,427.324
2815,10 Comunitat Valenciana,Pernoctaciones,Total ,2018M01,384.712
2816,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2021M08,1.704.511
2817,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2021M07,1.352.737
2818,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2021M06,468.611
2819,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2021M05,156.939
2820,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2021M04,102.893
2821,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2021M03,74.035
2822,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2021M02,50.918
2823,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2021M01,52.426
2824,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2020M12,62.667
2825,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2020M11,55.034
2826,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2020M10,113.440
2827,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2020M09,272.979
2828,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2020M08,1.013.954
2829,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2020M07,646.555
2830,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2020M06,76.569
2831,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2020M05,.
2832,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2020M04,0
2833,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2020M03,26.162
2834,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2020M02,95.042
2835,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2020M01,86.495
2836,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2019M12,131.331
2837,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2019M11,98.886
2838,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2019M10,121.443
2839,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2019M09,426.166
2840,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2019M08,1.378.502
2841,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2019M07,1.010.715
2842,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2019M06,448.109
2843,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2019M05,190.394
2844,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2019M04,233.132
2845,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2019M03,123.995
2846,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2019M02,83.381
2847,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2019M01,77.361
2848,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2018M12,134.896
2849,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2018M11,99.718
2850,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2018M10,144.121
2851,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2018M09,527.339
2852,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2018M08,1.405.822
2853,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2018M07,1.071.530
2854,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2018M06,432.803
2855,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2018M05,189.588
2856,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2018M04,186.538
2857,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2018M03,183.415
2858,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2018M02,80.368
2859,10 Comunitat Valenciana,Pernoctaciones,Residentes en España,2018M01,75.334
2860,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2021M08,579.273
2861,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2021M07,427.587
2862,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2021M06,156.206
2863,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2021M05,94.423
2864,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2021M04,45.262
2865,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2021M03,38.215
2866,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2021M02,38.050
2867,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2021M01,46.635
2868,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2020M12,43.700
2869,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2020M11,52.031
2870,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2020M10,79.795
2871,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2020M09,85.964
2872,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2020M08,321.027
2873,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2020M07,185.728
2874,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2020M06,21.513
2875,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2020M05,.
2876,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2020M04,0
2877,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2020M03,111.155
2878,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2020M02,332.109
2879,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2020M01,308.327
2880,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2019M12,280.524
2881,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2019M11,306.321
2882,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2019M10,539.820
2883,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2019M09,636.004
2884,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2019M08,1.086.084
2885,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2019M07,836.617
2886,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2019M06,638.555
2887,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2019M05,494.929
2888,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2019M04,449.909
2889,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2019M03,397.640
2890,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2019M02,318.342
2891,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2019M01,310.495
2892,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2018M12,294.758
2893,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2018M11,337.368
2894,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2018M10,548.670
2895,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2018M09,621.689
2896,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2018M08,974.742
2897,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2018M07,797.124
2898,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2018M06,625.049
2899,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2018M05,492.235
2900,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2018M04,421.426
2901,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2018M03,434.429
2902,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2018M02,346.957
2903,10 Comunitat Valenciana,Pernoctaciones,Residentes en el Extranjero,2018M01,309.378
2904,11 Extremadura,Viajero,Total ,2021M08,19.943
2905,11 Extremadura,Viajero,Total ,2021M07,13.895
2906,11 Extremadura,Viajero,Total ,2021M06,8.622
2907,11 Extremadura,Viajero,Total ,2021M05,6.707
2908,11 Extremadura,Viajero,Total ,2021M04,2.746
2909,11 Extremadura,Viajero,Total ,2021M03,4.053
2910,11 Extremadura,Viajero,Total ,2021M02,1.204
2911,11 Extremadura,Viajero,Total ,2021M01,797
2912,11 Extremadura,Viajero,Total ,2020M12,3.118
2913,11 Extremadura,Viajero,Total ,2020M11,2.874
2914,11 Extremadura,Viajero,Total ,2020M10,5.946
2915,11 Extremadura,Viajero,Total ,2020M09,7.279
2916,11 Extremadura,Viajero,Total ,2020M08,12.158
2917,11 Extremadura,Viajero,Total ,2020M07,9.716
2918,11 Extremadura,Viajero,Total ,2020M06,1.993
2919,11 Extremadura,Viajero,Total ,2020M05,290
2920,11 Extremadura,Viajero,Total ,2020M04,0
2921,11 Extremadura,Viajero,Total ,2020M03,1.903
2922,11 Extremadura,Viajero,Total ,2020M02,8.871
2923,11 Extremadura,Viajero,Total ,2020M01,6.226
2924,11 Extremadura,Viajero,Total ,2019M12,9.780
2925,11 Extremadura,Viajero,Total ,2019M11,9.710
2926,11 Extremadura,Viajero,Total ,2019M10,12.000
2927,11 Extremadura,Viajero,Total ,2019M09,11.069
2928,11 Extremadura,Viajero,Total ,2019M08,19.613
2929,11 Extremadura,Viajero,Total ,2019M07,13.740
2930,11 Extremadura,Viajero,Total ,2019M06,11.376
2931,11 Extremadura,Viajero,Total ,2019M05,8.841
2932,11 Extremadura,Viajero,Total ,2019M04,10.270
2933,11 Extremadura,Viajero,Total ,2019M03,7.703
