Mes de defunción	Covid-19	Sexo	Edad	Total
Enero	Covid-19 Virus identificado	Hombres	95 y más años	..
Enero	Covid-19 Virus identificado	Mujeres	Total	..
Enero	Covid-19 Virus identificado	Mujeres	De 0 a 49 años	..
Enero	Covid-19 Virus identificado	Mujeres	De 50 a 54 años	..
Enero	Covid-19 Virus identificado	Mujeres	De 55 a 59 años	..
Enero	Covid-19 Virus identificado	Mujeres	De 60 a 64 años	..
Enero	Covid-19 Virus identificado	Mujeres	De 65 a 69 años	..
Enero	Covid-19 Virus identificado	Mujeres	De 70 a 74 años	..
Enero	Covid-19 Virus identificado	Mujeres	De 75 a 79 años	..
Enero	Covid-19 Virus identificado	Mujeres	De 80 a 84 años	..
Enero	Covid-19 Virus identificado	Mujeres	De 85 a 89 años	..
Enero	Covid-19 Virus identificado	Mujeres	De 90 a 94 años	..
Enero	Covid-19 Virus identificado	Mujeres	95 y más años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Total	Total	..
Enero	Covid-19 Virus no identificado (sospechoso)	Total	De 0 a 49 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Total	De 50 a 54 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Total	De 55 a 59 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Total	De 60 a 64 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Total	De 65 a 69 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Total	De 70 a 74 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Total	De 75 a 79 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Total	De 80 a 84 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Total	De 85 a 89 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Total	De 90 a 94 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Total	95 y más años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Hombres	Total	..
Enero	Covid-19 Virus no identificado (sospechoso)	Hombres	De 0 a 49 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Hombres	De 50 a 54 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Hombres	De 55 a 59 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Hombres	De 60 a 64 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Hombres	De 65 a 69 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Hombres	De 70 a 74 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Hombres	De 75 a 79 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Hombres	De 80 a 84 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Hombres	De 85 a 89 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Hombres	De 90 a 94 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Hombres	95 y más años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Mujeres	Total	..
Enero	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 0 a 49 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 50 a 54 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 55 a 59 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 60 a 64 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 65 a 69 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 70 a 74 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 75 a 79 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 80 a 84 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 85 a 89 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 90 a 94 años	..
Enero	Covid-19 Virus no identificado (sospechoso)	Mujeres	95 y más años	..
Enero	Otras causas	Total	Total	42.681
Enero	Otras causas	Total	De 0 a 49 años	1.383
Enero	Otras causas	Total	De 50 a 54 años	919
Enero	Otras causas	Total	De 55 a 59 años	1.354
Enero	Otras causas	Total	De 60 a 64 años	1.813
Enero	Otras causas	Total	De 65 a 69 años	2.345
Enero	Otras causas	Total	De 70 a 74 años	3.272
Enero	Otras causas	Total	De 75 a 79 años	4.427
