Comunidades autónomas,Sexo,Edad,Tipo de dato,Periodo,Total
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM13,3314.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM14,3393.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM15,2708.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM16,1969.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM17,155.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM18,1305.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM19,1189.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM20,1089.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM21,112.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM22,108.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM23,1064.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM24,1028.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM25,1064.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM26,1073.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM27,1122.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM28,1117.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM29,1131.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM30,1126.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM31,1291.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM32,1262.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM33,1214.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM34,115.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM35,1143.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM36,1136.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM37,1192.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM38,119.0
